run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect,redis_kill_latency_ms,durability_ack_observed
aep_full-none-ledger_postings-8530cc0f-r0,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,ec75ffe7-9742-4866-9652-4c9bc2518367,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,946.461,1
aep_full-none-ledger_postings-8530cc0f-r1,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,0d261bb6-0e68-41b7-9f9f-262bd6c538eb,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,1247.17,1
aep_full-none-ledger_postings-8530cc0f-r10,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,05f3cbe8-2508-4b49-a139-cbb1f621b18d,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,1249.011,
aep_full-none-ledger_postings-8530cc0f-r11,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,bde8cd6b-2b99-4e59-a90e-7050e43d909a,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,1071.025,1
aep_full-none-ledger_postings-8530cc0f-r12,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,0ea7c3b1-feac-476a-9873-14890707d1e9,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,1334.73,1
aep_full-none-ledger_postings-8530cc0f-r13,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,daceb462-7fbd-4c18-8d18-1fe6b8785024,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,893.203,
aep_full-none-ledger_postings-8530cc0f-r14,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,1f8919ca-d553-4c9b-b3c2-41d2afe3b374,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,879.13,
aep_full-none-ledger_postings-8530cc0f-r15,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,2e122981-bd97-4efa-bba9-e837a708a2c3,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,846.936,
aep_full-none-ledger_postings-8530cc0f-r16,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,9cbbb83f-9ac0-477f-a4a3-24104e39fed3,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,1029.283,
aep_full-none-ledger_postings-8530cc0f-r17,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,4a9796f1-5775-4514-85b3-3d82fbed818f,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,1040.239,
